<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;M;20180101;000000;1156.4400000;1313.4400000;1156.2800000;1282.3600000;13829861189
RTSI;M;20180201;000000;1285.0700000;1339.4100000;1177.5400000;1285.4700000;15379668290
RTSI;M;20180301;000000;1278.0700000;1297.3000000;1222.4700000;1249.4100000;14224621497
RTSI;M;20180401;000000;1252.7900000;1259.5900000;1042.8200000;1153.9600000;20706589609
RTSI;M;20180501;000000;1153.3100000;1203.9900000;1128.2200000;1162.9800000;12357071586
RTSI;M;20180601;000000;1159.6300000;1186.6300000;1077.5200000;1154.1600000;11530741910
RTSI;M;20180701;000000;1151.3100000;1202.4200000;1112.6300000;1173.0600000;11762287635
RTSI;M;20180801;000000;1168.2400000;1170.0200000;1039.2900000;1092.2900000;12943142324
RTSI;M;20180901;000000;1093.2100000;1192.0400000;1040.3000000;1192.0400000;12610131285
RTSI;M;20181001;000000;1192.4600000;1202.1600000;1087.7400000;1126.2100000;14930124747
RTSI;M;20181101;000000;1125.1400000;1168.5500000;1072.6900000;1126.1400000;13154001504
RTSI;M;20181201;000000;1138.5700000;1163.6100000;1033.3100000;1067.5700000;10292716286
RTSI;M;20190101;000000;1068.7800000;1224.5500000;1063.6300000;1214.4500000;10409423569
RTSI;M;20190201;000000;1213.0200000;1226.5600000;1151.9500000;1188.2800000;10878025466
RTSI;M;20190301;000000;1189.8400000;1243.7000000;1173.0500000;1198.1100000;11025720669
RTSI;M;20190401;000000;1200.8100000;1284.9100000;1200.0400000;1248.3900000;13286933503
RTSI;M;20190501;000000;1248.5200000;1296.8500000;1206.9600000;1287.0900000;14967470456
RTSI;M;20190601;000000;1278.7300000;1396.1900000;1273.6200000;1380.5200000;15321535688
RTSI;M;20190701;000000;1387.8700000;1413.8200000;1326.4800000;1360.0400000;15593610833
RTSI;M;20190801;000000;1350.4600000;1352.7200000;1233.1900000;1293.3200000;14803989648
RTSI;M;20190901;000000;1293.9000000;1399.3600000;1292.8600000;1333.9100000;15130529399
RTSI;M;20191001;000000;1335.6400000;1451.2600000;1300.4500000;1422.9200000;18111361711
RTSI;M;20191101;000000;1423.0000000;1487.8200000;1419.9100000;1438.4500000;18282013419
RTSI;M;20191201;000000;1439.1600000;1558.2400000;1410.6100000;1548.9200000;15941106746
RTSI;M;20200101;000000;1554.7200000;1651.8200000;1517.0700000;1517.0700000;21337335775
RTSI;M;20200201;000000;1509.2000000;1579.6000000;1279.7400000;1299.6900000;23195349076
RTSI;M;20200301;000000;1340.2100000;1368.6300000;809.0000000;1014.4400000;39023746814
RTSI;M;20200401;000000;988.7100000;1170.2700000;977.4800000;1125.0300000;25988949887
RTSI;M;20200501;000000;1111.2800000;1243.9600000;1080.6300000;1219.7600000;20524778393
RTSI;M;20200601;000000;1240.0800000;1306.2700000;1196.4700000;1212.6300000;24050874572
RTSI;M;20200701;000000;1222.3500000;1277.8200000;1197.2000000;1234.4400000;18452756467
RTSI;M;20200801;000000;1235.4000000;1336.5800000;1234.9700000;1258.6000000;21415404604
RTSI;M;20200901;000000;1265.7000000;1283.6900000;1138.9500000;1178.5100000;22653084915
RTSI;M;20201001;000000;1181.5500000;1191.1900000;1056.0200000;1066.6000000;18575236507
RTSI;M;20201101;000000;1062.3000000;1316.5700000;1039.5100000;1281.9700000;28072616265
RTSI;M;20201201;000000;1284.5900000;1434.6400000;1284.5900000;1387.4600000;27246784240
RTSI;M;20210101;000000;1399.0600000;1507.0600000;1361.7300000;1367.6400000;25287113821
RTSI;M;20210201;000000;1363.7800000;1508.9500000;1362.6400000;1411.9300000;24403424198
RTSI;M;20210301;000000;1422.7800000;1555.7400000;1413.3500000;1477.1100000;29004160022
RTSI;M;20210401;000000;1480.3600000;1530.7100000;1406.4200000;1485.0300000;25913173678
RTSI;M;20210501;000000;1489.4300000;1607.4600000;1489.4300000;1597.5400000;23881499130
RTSI;M;20210601;000000;1610.6300000;1695.4600000;1610.5400000;1653.7800000;25481822441
RTSI;M;20210701;000000;1657.8100000;1682.6700000;1551.7300000;1625.7600000;21681716948
RTSI;M;20210801;000000;1633.0200000;1695.1700000;1618.1800000;1684.1600000;20649858083
RTSI;M;20210901;000000;1690.0800000;1787.9200000;1689.7100000;1777.7400000;29920714798
RTSI;M;20211001;000000;1760.3600000;1933.5900000;1754.7400000;1843.8300000;33659246245
RTSI;M;20211101;000000;1839.1200000;1877.2300000;1585.9100000;1645.8100000;34419327413
RTSI;M;20211201;000000;1662.3200000;1700.4400000;1661.0500000;1668.2600000;4229749382
